Employee_ID,Department,City,Gender,Age,Experience_Years,Performance_Score,Projects_Completed,Training_Hours,Monthly_Salary,Annual_Salary
1001,Finance,Chennai,Male,22.0,7,3.18,11,16.0,98753.0,1185036.0
1002,AI,Hyderabad,Female,37.0,7,3.9,5,45.0,109282.0,1311384.0
1003,AI,Pune,Male,22.0,8,3.65,6,31.0,105400.0,1264800.0
1004,AI,Pune,Female,24.0,4,3.69,6,19.0,90523.0,1086276.0
1005,AI,Hyderabad,Male,46.0,14,4.09,4,43.0,120541.0,1446492.0
1006,Sales,Bangalore,Male,24.0,8,3.41,4,47.0,88257.0,1059084.0
1007,Sales,Pune,Female,38.0,20,3.07,3,66.0,137208.0,1646496.0
1008,Engineering,Hyderabad,Male,42.0,12,3.61,5,41.0,117174.0,1406088.0
1009,Sales,Pune,Female,22.0,6,3.74,4,47.0,90718.0,1088616.0
1010,Sales,Hyderabad,Male,49.0,16,3.05,6,78.0,119516.0,1434192.0
1011,HR,Hyderabad,Male,33.0,9,3.04,8,12.0,91732.0,1100784.0
1012,AI,Pune,Female,36.0,20,3.07,4,1.0,164103.0,1969236.0
1013,Sales,Hyderabad,Female,49.0,16,4.19,14,14.0,137003.0,1644036.0
1014,AI,Hyderabad,Male,22.0,18,4.53,7,25.0,165348.0,1984176.0
1015,Finance,Chennai,Male,25.0,20,4.46,10,23.0,142546.0,1710552.0
1016,Finance,Pune,Male,46.0,16,3.15,13,,131670.0,1580040.0
1017,Sales,Pune,Male,31.0,19,3.28,4,53.0,144896.0,1738752.0
1018,AI,Hyderabad,Male,46.0,18,2.93,13,59.0,155923.0,1871076.0
1019,Sales,Pune,Female,48.0,3,4.8,15,55.0,98734.0,1184808.0
1020,HR,Bangalore,Male,31.0,14,3.41,10,60.0,115805.0,1389660.0
1021,AI,Pune,Female,22.0,11,3.68,10,42.0,124351.0,1492212.0
1022,AI,Hyderabad,Female,,19,3.41,9,59.0,137853.0,1654236.0
1023,Engineering,Chennai,Female,45.0,15,3.8,6,,121416.0,1456992.0
